|news_id|news_title|subtitle|text
10|3270154|Статисты застряли под землей на съемках «Джокера»|Актеры на несколько часов оказались отрезаны от мира.|['                Из-за незапланированных задержек на съемочной площадке «Джокера» актеры массовки оказались заперты под землей в вагоне метро. Люди оказались отрезаны от основной съемочной группы на несколько часов и были вынуждены использовать в качестве туалета сам тоннель.', 'Как отмечает TMZ, в результате происшествия в актерскую гильдию была направлена жалоба. Представители профсоюза или студии Warner пока никак не прокомментировали информацию.', 'Съемки картины о происхождении знаменитого злодея сейчас проходят в Бруклине. Создатели проекта не особо скрывают происходящее на площадке от фотографов и в сети постоянно появляются фото с Хоакином Фениксом в образе Джокера. Судя по всему, действия клоуна приводят к хаосу и погромам, которые начинаются в метро.', '', 'A scene from the #Joker movie was filmed over the weekend where the title character casually strolled through the NYC subway while police flew by: https://t.co/4demNqe3Mo', 'Действие картины развернется в 1980-е. Артур Флек (Феникс), скромный и незаметный человек, возвращается в Готэм после продолжительного отсутствия. Неудачливый комик, он планирует поухаживать за стареющей матерью (Фрэнсис Конрой), перевести дыхание и попытаться вновь запустить свою карьеру юмориста. Его мало волнует, что происходит вокруг. Но в прошлом Артура скрыт секрет: история Флеков каким-то образом связана с Уэйнами, богатейшей семьей Готэма. В конечном итоге эта тайна заставит Артура отбросить цивилизованный облик и принять новую роль — Клоуна, короля преступного мира.', 'Тодд Филлипс написал сценарий совместно со Скоттом Сильвером и поставит картину. В фильме также снимаются Зази Битц, Роберт Де Ниро, Марк Мэрон и Бретт Каллен.', 'Премьера «Джокера» состоится 3 октября 2019 года.', 'Deadline']
11|3270113|Трейлер фильма «Стекло»: Неуязвимый против Зверя|Новый проект режиссера М. Найта Шьямалана увидит свет 17 января.|['                В финале «Сплита» похититель с множественным расстройством личности Кевин (Джеймс МакЭвой) превратился в безжалостного Зверя, чья главная цель — убивать. О его существовании в итоге узнает Дэвид Данн (Брюс Уиллис), неуязвимый «супергерой», который решает оставить безумца.', 'Данн начинает охоту на Зверя и постепенно понимает, что в деле замешана загадочная личность. Оказывается, что за противостоянием внимательно следит террорист-инвалид Мистер Стекло (Сэмюэл Л. Джексон), который хранит очень важные секреты.', 'Дублированный трейлер:', '', 'Оригинальный трейлер:', '', '«Неуязвимый», где впервые появились герои Уиллиса и Джексона, вышел в 2000 году. Тогда зрители и не подозревали, что 19 лет спустя Данн и Стекло вернутся на экраны как часть маленькой киновселенной, чтобы встретиться с другим героем М. Найта Шьямалана.', 'О том, что Кевин живет в одном мире с Дэвидом и Стеклом, МакЭвой узнал во время съемок «Сплита». Шьямалан между делом заметил, что если картина хорошо себя покажет, то он снимет сиквел, в котором Дэвид вернется. Актер даже не сразу понял, что речь идет о персонаже Уиллиса.', 'Российская премьера «Стекла» состоится 17 января.', '']
12|3270036|Канал NBC выпустит сериал по мотивам романа «Последний американский вампир»|Книга стала продолжением псевдодокументального «Авраам Линкольн: Охотник на вампиров».|['                Канал NBC начал работу над сериалом «Последний американский вампир» (The Last American Vampire) — многосерийной экранизацией одноименного романа Сета Грэма-Смита. Бывший шоураннер «12 обезьян» Терри Маталас напишет сценарий адаптации. Грэм-Смит спродюсирует проект совместно с Дэвидом Катценбергом.', '«Последний американский вампир» — продолжение романа «Авраам Линкольн: Охотник на вампиров», рассказывающего «реальную» историю 16-го президента США, который посвятил свою жизнь истреблению кровососов. Именно там был впервые был представлен 500-летний вампир и очаровательный джентльмен Генри Стёрджес, впоследствии ставший героем сиквела.', 'В продолжении Стёрджес оказался взаперти, где просидел последние 40 лет. Считается, что вампиры полностью исчезли, и Генри — последний в своем роде. Но серия жестоких убийств, произошедшая по всей Америке, заставляет в этом усомниться. ФБР решает использовать кровососа. Они дают ему в напарники аналитика Эбби, которая призвана помочь Стёрджесу раскрыть многовековой заговор.', 'В 2012 году свет увидела картина «Президент Линкольн: Охотник на вампиров», экранизация романа от режиссера Тимура Бекмамбетова и продюсера Тима Бёртона. В фильме роль Генри Стёрджеса исполнил Доминик Купер.', 'На данный момент проект находится на ранней стадии разработки, и точная дата релиза пока отсутствует.', 'Deadline', 'Подписывайтесь на канал КиноПоиска в «Яндекс.Дзен», чтобы быть в курсе всех самых важных новостей из мира кино и сериалов.']
13|3270027|Звезда сериала «Снегопад» сыграет главного злодея в «Рэмбо 5»|Создатели боевика нашли противника для совершенной боевой машины.|['Серхио Перис-Менчета, известный по сериалу «Снегопад», присоединился к актерскому составу боевика «Рэмбо 5», получившего подзаголовок «Последняя кровь» (The Last blood). Актер исполнит роль главы наркокартеля Хьюго Мартинеза, с которым столкнется герой Сильвестра Сталлоне.', 'По сюжету пятого фильма Джон Рэмбо окончательно оставил войну в прошлом и теперь живет мирной жизнью на ранчо. Но, когда неизвестные похищают дочь одного из его друзей, Джон вынужден вернуться в строй и вновь взяться за оружие. Он отправляется в Мексику, в самое пекло, где собирается выйти против одного из самых жестоких и могущественных мексиканских наркокартелей.', 'Кроме Сталлоне и Перис-Менчеты, в фильме также снимутся Пас Вега («ОА») и Ивет Монреаль («Морская полиция: Спецотдел»).', 'Мэттью Сирюльник и Дэвид Морелл написали сценарий совместно со Сталлоне. Адриан Грюнберг («Веселые» каникулы») занимает режиссерское кресло проекта.', 'Съемки боевика проходят в Болгарии, и Сталлоне регулярно публикует фотографии с площадки.', '', ' Rambo’s man cave…@rambomovie #rambo5', 'Публикация от  Sly Stallone (@officialslystallone) 9 Окт 2018 в 9:15 PDT', '', ' It’s so rewarding after so many years in the Biz to be truly excited about being in an extraordinary scene. @rambomovie #rambo5', 'Публикация от  Sly Stallone (@officialslystallone) 4 Окт 2018 в 4:26 PDT', 'Дата релиза «Рэмбо 5» пока не сообщается, но фильм ожидается в кинотеатрах осенью 2019 года.', 'Deadline', 'Подписывайтесь на канал КиноПоиска в Telegram, чтобы быть в курсе всех самых важных новостей из мира кино и сериалов.']
14|3270026|Мэттью МакКонахи снимется в криминальной драме Гая Ричи|Объявлен основной актерский состав ленты о противостоянии молодых и старых преступников.|['Мэттью МакКонахи («Белый парень Рик»), Кейт Бекинсейл («Другой мир») и Генри Голдинг («Безумно богатые азиаты») примут участие в съемках криминальной ленты Гая Ричи Toff Guys.', 'Ричи поставит картину по сценарию, который он написал совместно с Марном Дэвисом и Айвэном Аткинсоном. Режиссер также выступит в качестве продюсера проекта.', '«Toff» — британское сленговое слово, обозначающее выходца из аристократической семьи или обладателя высокого статуса, который относится к другим высокомерно.', 'Источники сравнивают проект Ричи с первыми работами постановщика в духе фильмов «Карты, деньги два ствола» и «Большой куш», но при этом добавляют, что сюжет напоминает смесь из «Сексуальной твари» и «Аббатства Даунтон».', 'Фильм расскажет о «старых и новых деньгах» британского криминального мира и противостоянии матерых европейских гангстеров и молодых наркоторговцев. В центре сюжета — английский наркобарон, который решает по-быстрому срубить денег и продать свой бизнес миллиардерам из Оклахомы.', 'Проект представили на кинорынке в Каннах, и кинокомпания Miramax выложила 30 млн долларов за права на дистрибьюцию. Съемки Toff Guys стартуют в ближайшее время в Англии.', '24 января российские зрители смогут увидеть МакКонахи в триллере «Море соблазна».', 'Гай Ричи сейчас заканчивает работу над фильмом «Аладдин», игровым ремейком классического мультфильма Disney. Лента увидит свет 22 мая 2019-го.', 'Variety', '']
15|3269060|Премьеры недели: Демонический Кейдж, тихий Гослинг, зловещий Хемсворт|Нил Армстронг улетает на Луну, лесоруб жестоко мстит, глава культа наводит шума в заброшенном отеле. Новинки второй недели октября — в нашем обзоре.|"['<a class=""watch_online_button"" style=""display: none;"">${content}</a>', 'Каждую неделю КиноПоиск выбирает несколько фильмов, которые появляются в кинотеатрах, и подробно рассказывает о них. Все картины из подборки выходят в прокат 11 октября.', '«Человек на Луне»', 'Астронавт Нил Армстронг (Райан Гослинг), замкнутый и немногословный мужчина, сильно переживает смерть дочери и, несмотря на страдания жены (Клер Фой) и гибнущих одного за другим друзей, идет через тернии к звездам. Потому что должен. Фильм, который снял Дэмьен Шазелл, ни капли не похож на его «Ла-Ла Ленд» — скорее, на «Одержимость», где барабанщик добивался идеального ритма. Правда, Армстронг Гослинга, в отличие от персонажа Майлза Теллера, не находится под влиянием властной фигуры. У него все сложнее: главный его противник — он сам и его внутренние демоны. И только бескрайние пространства Луны смогут их изгнать.', '', '«Ничего хорошего в отеле „Эль Рояль“»', 'Второй отель в прокате после «Артемиды» обещает быть интереснее, да и актерский состав у него более впечатляющий: Крис Хемсворт, Джефф Бриджес, Джон Хэмм, Дакота Джонсон, Ник Офферман и даже Ксавье Долан. Действие развивается в 1969 году в когда-то популярном, а ныне заброшенном отеле на границе Невады и Калифорнии. Несколько постояльцев (священник, коммивояжер, преступница, бывшая певица) заселяются в номера, после чего в отеле появляется харизматичный лидер секты, и все летит в тартарары. Снимал это Дрю Годдард, дебютировавший в режиссуре отличным метахоррором «Хижина в лесу», так что если вы любите этот фильм, то и в «Эль Рояль» можете приходить смело.', '', '«Мэнди»', '«Вы видели тот фильм с Кейджем, где он играет психа? Лучшая его роль!» — кажется, это одна из самых популярных реплик на фестивалях что в Каннах, что в Торонто. 1983 год, американская глубинка. Лесоруб Ред Миллер (Николас Кейдж) живет в лесу со своей подружкой Мэнди (Андреа Райзборо). На пару нападают члены странствующего культа (при помощи трех демонических байкеров), все заканчивается печально, и Ред отправляется мстить. Как пишет британский Empire, «представьте ожившую версию обложек групп, поющих о драконах, викингах, Содоме и Гоморре, и все это под музыку покойного Йохана Йоханнссона». Режиссера Паноса Косматоса теперь называют исключительно визионером, так что давайте следить за его карьерой.', '', '«Экстаз»', 'Для тех, кто любит покрепче, сеанс вливания кинематографа прямо в вену. Новая картина скандального режиссера Гаспара Ноэ впервые была показана в Каннах и моментально покорила критиков. Режиссер, подготовивший язвительные постеры («Вы презирали „Один против всех“, ненавидели „Необратимость“, питали отвращение к „Входу в пустоту“, проклинали „Любовь“. Теперь попробуйте „Экстаз“, мой новый фильм!»), явно такого не ожидал. Сюжет простой. 1990-е, компания танцоров репетирует номер, затем решает выпить, но в алкоголь кто-то подсыпал наркоты. Героям становится плохо, очень плохо и омерзительно.', '', '«Основано на реальных событиях»', 'Драма Романа Поланского — еще один привет с Каннского фестиваля, но 2017 года. После двух театральных постановок («Резня» и «Венера в мехах») режиссер вернулся к жанру триллера, который ему так хорошо давался. Дельфина (Эмманюэль Сенье) написала бестселлер, посвященный самоубийству матери, и на автограф-сессии к ней подходит таинственная красавица Эль (Ева Грин). Вскоре она заполнит собой практически все личное пространство писательницы, пока та будет сражаться с творческим ступором, тосковать по мужу и получать письма с угрозами. Эль выполняет роль лучшей подруги, ассистентки и творческого наставника, заставляющего Дельфину снова сесть за документальную книгу. Ничем хорошим все это не закончится.', '', '', '«Без меня»', 'Драма Кирилла Плетнева (сопродюсером картины выступил «Яндекс») по сценарию автора «Измен» Дарьи Грацевич неожиданно смотрится совсем не так, как, вероятно, задумывалась. Дмитрий (Риналь Мухаметов) умирает от рака, и на похороны из Петербурга прилетает его бывшая Кира (Полина Максимова), от которой он ушел к учительнице музыки Ксюше (Любовь Аксенова). Резкая экстремалка Кира совсем не похожа на тихоню Ксюшу, но женщинам придется найти общий язык, потому что внезапно от Димы начинают приходить сообщения. Он хочет, чтобы они отправились вместе в путешествие, и девушки следуют указаниям, полные надежды, что Дима на самом деле жив. Наполняя фильм флешбэками, режиссер вряд ли думает, насколько странно выглядят отношения Димы с героинями — так, что его смерть кому-то может даже показаться благом. Впрочем, если смотреть с другой стороны, можно сказать, что у нас появился свой «Дневник памяти» — выжать слезу этот фильм может без проблем.', '']"
16|3271188|Трейлеры недели: Благие знамения, высшее общество и маленькая барабанщица|Курт Рассел раздает подарки, человечество сражается с Кингом Гидорой, а Питер Джексон рассказывает о Первой мировой войне.|['«Американские боги», второй сезон', '', 'Второй сезон экранизации романа Нила Геймана столкнулся с неожиданными проблемами. Производство отстает от намеченного графика, сценарий постоянно меняют и переписывают прямо на месте (иногда этим приходится заниматься самим актерам), а продюсеры спорят из-за бюджета и меняют шоураннеров. Финал первого сезона оставил много вопросов, и сейчас сложно сказать, в каком именно направлении двинется проект дальше.', '«Благие знамения», первый сезон', '', 'Демон и ангел поменяли ребенка Антихриста, чтобы остановить апокалипсис. Получилось размышление на тему «Природа или воспитание», и если вы не читали книгу Терри Пратчетта и Нила Геймана, то сделайте это в ближайшее время, пока не вышел сериал Amazon.', '«Вернуть Бена», режиссер Питер Хеджес', '', 'Джулия Робертс в роли матери трудного ребенка, который возвращается домой, после того как провел время в рехабе. Ребенка (пусть и взрослого уже) играет Лукас Хеджес, один из самых востребованных молодых актеров Голливуда. Бену дома плохо, каждый угол напоминает о зависимости. Сможет ли он вернуться в семью по-настоящему?', '«Высшее общество», режиссер Клер Дени', '', 'Один из самых удивительных фильмов, показанных на кинофестивале в Торонто. Группа заключенных отправляется к черной дыре. Попутно на персонажах (среди них Роберт Паттинсон и Миа Гот) проводятся эксперименты. Доктор в исполнении Жюльет Бинош пытается вырастить идеального человека, но похоже, что это занятие придется продолжить кому-то другому. Ничего не поняли? Подробно мы рассказывали из Торонто.', '«Годзилла: Пожирающий планету», режиссеры Хироюки Сэсита и Сидзуно Кобун', '', 'Заключительная часть аниме-трилогии про отношения людей и гигантского радиоактивного ящера. Человечество настолько загадило родную планету, что Земля включила защитный механизм в виде агрессивных монстров. В прошлых сериях люди бежали в космос и, не найдя другого пристанища, вернулись и встретились с новой человеческой цивилизацией, совместными усилиями с которой все-таки одолели самого большого Годзиллу. Но планета не сдается и насылает на человечество более эффективное средство — монстра Кинга Гидору.', '«Лучшие враги», режиссер Робин Бисселл', '', 'Для тех, кому понравился «Черный клановец», — драма про то, как темнокожая правозащитница (Тараджи П. Хэнсон) смогла достучаться до куклусклановца в исполнении Сэма Рокуэлла и объяснить ему, почему сегрегация — это плохо. Учитывая, что на дворе 1971 год, это практически нереальная история. Но правдивая. Ждите, когда критики будут вспоминать, что в «Трех билбордах» Рокуэлл тоже играл расиста.', '«Маленькая барабанщица», режиссер Пак Чхан-ук', '', 'Пак Чхан-ук после эксперимента с переделкой англоязычной прозы на восточный лад («Служанка» снята по роману Сары Уотерс) снова возвращается к английскому языку, который подвел его в фильме «Порочные игры», и снимает сериал по роману мастера шпионских историй Джона ле Карре. Александр Скарсгард играет агента разведки, который вербует англичанку (отличная актриса Флоренс Пью), втягивая девушку в опасный заговор.', '«Ночь идет за нами», режиссер Тимо Тьяджанто', '', 'Простой и беспроигрышный сюжет, который вы уже видели в ряде известных картин («Леон», «Человек из ниоткуда», «Тебя никогда здесь на было»): мужчина с навыками спасает девочку в непростой жизненной ситуации. Для тех, кто не теряет надежд дождаться «Рейд 3». При выполнении очередного задания киллер триады нарушил правила — не смог заставить себя убрать последнюю свидетельницу. В спасении жизни девочки он увидел знак и шанс на искупление, но у такого поступка будут серьезные последствия, и теперь отступнику предстоит иметь дело со всей убийственной мощью своей преступной организации.', '«Они не состарятся», режиссер Питер Джексон', '', 'Тот самый проект Питера Джексона, ради которого он провел скрупулезнейшую работу над кадрами хроники Первой мировой войны. Режиссер «Властелина колец» использовал архивные кадры из Имперского военного музея Британии и звукозаписи из архивов BBC. Звук стал идеальным, изображение — цветным и, что немаловажно, естественным, поскольку Джексон отрегулировал скорость.', '«Пацаны», первый сезон', '', 'Первый том одноименного комикса уже доступен на русском, но не спешите покупать книгу детям: «Пацаны» совсем не детский сериал. Супергерои только со стороны кажутся идеальными, на самом деле они прогнили насквозь. Чтобы контролировать разболтавшихся суперов, созданы вот эти ребята. Карл Урбан играет главу организации, а где-то запрятано камео Саймона Пегга, с которого срисован один из персонажей комикса.', '«Помешанный на времени», режиссер Эндрю Боулер', '', 'Софи Тернер бросает Эйсу Баттерфилда, но он не сдается и собирает машину времени, чтобы вернуть девушку. В отличие от героя «Дня сурка», он переживает заново все события, которые ему нужны. Можно было бы, конечно, изменить ход истории, но подростковый максимализм требует любви.', '«Рождественские хроники», режиссер Клэй Кэйтис', '', 'Санта-Клаус больше не старичок с одышкой — в этом фильме его играет Курт Рассел. Проект Netflix, к которому приложили руку продюсеры «Гарри Поттера» и «Одного дома», снят специально для того, чтобы прибавить вам новогоднего настроения.', '«Создавая убийцу», второй сезон', '', 'Главный конек Netflix — собственное производство, и документальные сериалы даются стриминг-сервису чуть ли не лучше всего. Стивен Эвери отсидел 18 лет за преступление, которое не совершал, но впоследствии новые улики показали на его причастность к убийству фотографа Терезы Холбак. Второй сезон сериала как раз расследует то, что случилось с Холбак на самом деле, а в центре событий — адвокат Эвери, которая пытается доказать его невиновность.', '«Хроники хищных городов», режиссер Кристиан Риверс', '', 'У Питера Джексона уже был один протеже — Нил Бломкамп, снявший под чутким руководством постановщика «Район № 9». Теперь Джексон выпестовал новое дарование — Кристиана Риверса, новозеландского художника и супервайзера визуальных эффектов. Риверс познакомился с Джексоном, когда ему было 17 лет. Сейчас ему уже за 40, и он дебютирует в большом кино фильмом про шагающие города.                              ']
17|3270781|В четвертых «Мстителях» может появиться новый суперзлодей|В продолжении «Войны бесконечности» герои столкнутся с новой угрозой.|['Четвертые «Мстители» увидят свет лишь весной 2019 года, но в сети уже всплывают первые фотографии мерчендайза, связанного с будущим блокбастером. Благодаря этому появилась информация, что в фильме, кроме Таноса, будет еще один злодей, а герои примерят новые костюмы.', '', 'На фото видно, что у Тора и Ракеты (а также у Капитана Америка в углу) одинаковые технологичные костюмы, напоминающие легкие скафандры. Есть вероятность, что это лишь часть образа для отдельной линейки игрушек, но есть и предположения, что костюмы как-то связаны с сюжетом. Возможно, герои используют их для проникновения в квантовый мир, где застрял Скотт Лэнг в финале второго «Человека-муравья».', 'Костюм Тора', '«Асгардец Тор отправляется в бой с новыми врагами с могучим Громобоем наперевес, — гласит надпись на коробке. — Ракета объединяется с новой командой, чтобы защитить галактику от еще большей угрозы».', 'Под новой командой, скорее всего, подразумеваются Мстители, но вот что за новая угроза? Фанаты считают, что это связано с одним из предполагаемых подзаголовков «Мстителей 4» — «Аннигиляция», — который заимствуется из названия комикс-сюжета о вторжении из Негативной зоны.', 'Таким образом, новой угрозой, способной составить конкуренцию Таносу, может стать Аннигилус. Правитель измерения Негативная зона, он возглавляет огромную армию разнообразных опасных существ, готовых по первому зову лидера уничтожить все на своем пути. Аннигилус фактически бессмертен и неоднократно появлялся на страницах комиксов. В частности, однажды он встал во главе Волны Аннигиляции — огромного флота боевых кораблей из Негативной зоны, которые ворвались в обычное измерение и попытались завоевать Вселенную.', 'Аннигилус / Изображение: Marvel', 'Проблема с этой теорией заключается в том, что Аннигилус — регулярный враг Фантастической Четверки, права на которую пока принадлежат Fox. С другой стороны, слияние с Disney должно состояться в первые месяцы 2019 года, до выхода «Мстителей 4», так что Marvel может успеть получить права на злодея до мая.', 'Российская премьера «Мстителей 4» состоится 2 мая 2019-го.                              ']
18|3270574|Райан Рейнольдс поздравил Хью Джекмана с 50-летием кадром из «Дэдпула 2»|Звезда «Логана» встретила день рождения во сне.|['                12 октября Хью Джекману исполнилось 50 лет. В качестве поздравления с юбилеем Райан Рейнольдс повесил на своей странице в Facebook кадр из «Дэдпула 2» с игрушкой, которая изображает смерть главного героя в финале «Логана». «50 лет — это ведь дерево, да?», — написал актер под фото.', '', 'Джекман и Рейнольдс уже много лет подшучивают друг над другом в соцсетях. В своем время в сети появилось видео, где Дэдпул мешает звезде «Величайшего шоумена» записывать поздравление с днем рождения, а Джекман впоследствии записал ролик, где очень неохотно поздравлял авторов «Дэдпула 2» с выходом картины.', 'Сам именинник в честь дня рождения повесил фотографию себя спящего и подписал: «Когда люди говорят тебе: „Ты не выглядишь на 50“, и ты им даже начинаешь верить… Пока не видишь себя спящим».', '', 'Рейнольдс сейчас занят на съемочной площадке боевика Майкла Бэя 6 Underground.', '']
19|3270543|Третий сезон «Настоящего детектива» выйдет в январе 2019-го|Канал также опубликовал новые кадры из продолжения остросюжетного сериала.|['                Третий сезон «Настоящего детектива», действие которого развернется в районе известнякового плато Озарк, увидит свет 13 января 2019 года. Автор и шоураннер криминальной антологии Ник Пиццолатто написал сценарий и лично поставил несколько эпизодов продолжения.', 'Главный герой третьего сезона — детектив Уэйн Хейз (Махершала Али) из полиции Северо-Западного Арканзаса. Совместно со следователем Роландом Уэстом (Стивен Дорфф) он пытается разобраться с загадочным преступлением, растянувшимся на три десятилетия и произошедшим на территории плато Озарк, расположенного одновременно в нескольких штатах.', 'Премьера сериала «Настоящий детектив» состоялась в эфире HBO в 2014 году. Проект моментально стал популярным. По большей части благодаря актерскому дуэту Мэттью МакКонахи и Вуди Харрельсона. Первый сезон, снятый в стиле южной готики, повествовал о расследовании серии загадочных убийств.', 'Во втором сезоне действие перенеслось в Лос-Анджелес. Главные роли исполнили Колин Фаррелл, Рэйчел МакАдамс и Винс Вон. Зрители и критики приняли продолжение прохладно, но третий сезон все равно стал одним из самых ожидаемых телепроектов.', 'HBO также опубликовал несколько фотографий из нового сезона.', '']
20|3270542|Съемки боевика «Хоббс и Шоу»: Футуристичный и зловещий Идрис Эльба|Также стало известно имя главного злодея будущего спин-оффа «Форсажа».|['Дуэйн Джонсон продолжает держать зрителя в курсе съемок фильма «Хоббс и Шоу». Теперь актер представил главного злодея картины — Брикстона, роль которого исполнил Идрис Эльба. Именно он будет мешать героям Джонсона и Джейсона Стэйтема.', '', ' I learned a long time ago (when I was a very sinful eyebrow raising villainous man in the crazy world of pro wrestling;) that heroes are only as great as their greatest villains. A pleasure to introduce the man himself @idriselba we brought in to our Fast & Furious franchise to wreak havoc, hell and mayhem on our heroes HOBBS & SHAW. The name: BRIXTON. The record: UNDEFEATED. The promise: SHOWDOWN OF ALL SHOWDOWNS. So cool having my brother @idriselba come and play in our sandbox. This one’s been years in the making! As I always say, we either gonna get along or we gonna get it on… and fuck getting along 😈 #BRIXTON #TheConsequenceAgent #HellRaiser HOBBS & SHAW SUMMER 2019 📸 @hhgarcia41', 'Публикация от  therock (@therock) 11 Окт 2018 в 2:08 PDT', '«Я давно понял, еще когда был негодяем в безумном мире профессионального рестлинга, что герои хороши лишь настолько, насколько хорош их злодей, — пишет Джонсон в подписи к фото. — С удовольствием представляю главного мужика Идриса Эльбу, которого мы пригласили в „Форсаж“, чтобы он устроил настоящий погром и испортил жизнь нашим героям в „Хоббсе и Шоу“».', 'Несмотря на регулярные фото со съемочной площадки, создатели спин-оффа не торопятся раскрывать подробности сюжета. Героями боевика станут спецагент Люк Хоббс (Джонсон) и международный преступник Декард Шоу (Стэйтем), которых зрители видели в последних частях франшизы «Форсаж». Им придется вновь объединить силы, чтобы остановить опасного Брикстона (Эльба). Ванесса Кирби («Миссия невыполнима: Последствия») сыграет сестру персонажа Стэйтема.', 'Режиссерское кресло спин-оффа занимает Дэвид Литч, постановщик «Дэдпула 2», а сценарий написали Крис Морган и Гэри Скотт Томпсон.', '«Хоббс и Шоу» ожидаются в кинотеатрах 26 июля 2019 года.', '']
21|3270541|Райан Куглер поставит сиквел «Черной Пантеры»|Режиссер оригинальной картины займется продолжением.|['Райан Куглер вернется в Ваканду и поставит для Marvel сиквел «Черной Пантеры». Режиссер также напишет сценарий продолжения. Ожидалось, что Куглер займется вторым фильмом, но теперь студия официально подтвердила назначение.', '«Черная Пантера», увидевшая свет в начале 2018 года, стала одним из самых популярных проектов Marvel. Лента рассказывает о вымышленной африканской стране Ваканде, которая обогнала по технологическому развитию остальной мир благодаря инопланетному металлу. Ваканда скрыта от посторонних глаз, а правит ей справедливый Т’Чалла, защищающий свою родину в облике Черной Пантеры.', '«Черная Пантера» стала вторым самым успешным фильмом Marvel в 2018 году, уступив первое место «Войне бесконечности». Фильм, тем не менее, показал в прокате отличные результаты, собрав 1,3 млрд долларов и получив большое количество положительных отзывов.', 'После релиза картины многие задавались вопросом, возьмется ли Куглер за продолжение. Режиссер спокойно игнорировал запросы и незаметно провел переговоры со студией, которые успешно завершились некоторое время назад.', 'Студия пока не объявила точную дату релиза для «Черной Пантеры 2». Согласно источникам, производство сиквела должно начаться в конце 2019-го — начале 2020-го.', 'Сейчас Куглер работает над драмой «Неверный ответ», где вновь снимется постоянный актер режиссера Майкл Б. Джордан. Куглер также спродюсирует сиквел «Космического джема».', 'THR', '']
22|3270310|Тизер-трейлер «Аладдина»: Арабская ночь, волшебный Восток|Игровой ремейк диснеевской классики ожидается в кинотеатрах 22 мая.|['                Молодой воришка Аладдин (Мена Массуд) живет на улицах жаркой Аграбы и мечтает когда-нибудь поселится в роскошных палатах султанского дворца. Неожиданно к нему за помощью обращается загадочный старик, который сулит юноше несметные богатства, если тот поможет ему достать из волшебной пещеры старую лампу.', 'Аладдин и не подозревает, что под личиной старца скрывается визирь Аграбы Джафар (Марван Кензари), а лампа — сосуд для могущественного джинна, способного исполнить любое желание своего хозяина. Джафар планирует с его помощью захватить власть, но вместо этого лампа оказывается у воришки. В скором времени в Аграбе появится новый загадочный принц, который желает взять в жены принцессу Жасмин (Наоми Скотт).', 'Дублированный трейлер:', '', 'Оригинальный трейлер:', '', '«Аладдин» Гая Ричи — игровой ремейк классического мультфильма 1992 года. Анимационная лента оказалась настоящим хитом проката, собрав в мире 504 млн долларов при бюджете в 28 млн долларов. «Аладдин» был номинирован на премию «Оскар» и даже одержал победу в категориях «Лучшая песня» и «Лучший оригинальный саундтрек».', 'Впоследствии Disney выпустила несколько продолжений, но только третья часть, «Аладдин и король разбойников», смогла сравниться с оригиналом по качеству. Мультфильм также стал основой для мультсериала, который просуществовал три сезона.', '«Аладдин» увидит свет 22 мая 2019 года.', '']
